Country Code,Country Name,Year of data,United Nations Region,World Bank Income Status,Food Vehicle,Mandatory Fortification,Mandatory Fortification Source English,Mandatory Fortification Comment,Fortification Year,Fortification Year Source English,Fortification Year Comment,Effective Year,Effective Year Source English,Effective Year Comment,Voluntary Fortification,Voluntary Fortification Year,Voluntary Fortification Source English,Voluntary Fortification Comment,Legislation scope types,Comment on legislation scope types,Legislation scope origins - Domestically Produced,Legislation scope origins - Imports,Legislation scope origins - Exports,Comment on legislation scope origins,Legislation scope uses - Household,Legislation scope uses - Processed food,Legislation scope uses - Animal feed,Legislation scope uses - Donated food,Comment on legislation scope uses,Source of legislation scope data in original language,Source of legislation scope data in English,External monitoring protocol,Source of external monitoring protocol data in original language,Source of external monitoring protocol data in English,Comment on external monitoring protocol data,Import monitoring protocol,Source of import monitoring protocol data in original language,Source of import monitoring protocol data in English,Comment on import monitoring protocol data
2,Afghanistan,0,Asia,Low income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
2,Afghanistan,2018,Asia,Low income,Oil,YES,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.  ,"Afghanistan National Standards Authority. Draft Afghanistan Standard, Fortified Edible Oils and Ghee - Specification, AS 475:2014. Afghanistan. 2014.",2018,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.  ,,2018,,,NO,0,,,All,(1)	All the producers of fortified edible oil are obliged to produce fortified edible oil in accordance with the set rules and national standards by the ANSA (Afghanistan National Standards Agency) and all guidance of the Ministry of Public Health.,Domestically produced,Imports,,(1)	All the producers of fortified edible oil are obliged to produce fortified edible oil in accordance with the set rules and national standards by the ANSA (Afghanistan National Standards Agency) and all guidance of the Ministry of Public Health.  2.	The imported Edible oil must be fortified with vitamin A& D according to the national standard.,Household,Processed food,,,(1)	All the producers of fortified edible oil are obliged to produce fortified edible oil in accordance with the set rules and national standards by the ANSA (Afghanistan National Standards Agency) and all guidance of the Ministry of Public Health.  2.	The imported Edible oil must be fortified with vitamin A& D according to the national standard.,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.,Not applicable,,,,Not applicable,,,
2,Afghanistan,0,Asia,Low income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
2,Afghanistan,2011,Asia,Low income,Salt,YES,The Ministry of Justice. Afghanistan Regulations on Iodizing Salt Official Gazette Serial No 1048 (6.1.1390) 26.3.2011. Islamic Republic of Afghanistan. 26/March/2011.,,2011,The Ministry of Justice. Afghanistan Regulations on Iodizing Salt Official Gazette Serial No 1048 (6.1.1390) 26.3.2011.  Islamic Republic of Afghanistan. 26/March/2011.,,2011,,,NO,0,,,All,1- Salt iodization: It is the addition of specified quantities of  iodine to the salt for human and animal use,Domestically produced,Imports,,"Article 7: Persons, have the duty to obtain a license for the purpose of production and distribution of iodized salt",Household,Processed food,Animal feed,,1- Salt iodization: It is the addition of specified quantities of  iodine to the salt for human and animal use,The Ministry of Justice. Afghanistan Regulations on Iodizing Salt Official Gazette Serial No 1048 (6.1.1390) 26.3.2011. Islamic Republic of Afghanistan. 26/March/2011.,The Ministry of Justice. Afghanistan Regulations on Iodizing Salt Official Gazette Serial No 1048 (6.1.1390) 26.3.2011. Islamic Republic of Afghanistan. 26/March/2011.,Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
2,Afghanistan,2018,Asia,Low income,Wheat flour,YES,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.  ,,2018,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.  ,,2018,,,NO,0,,,All,"""(12) The Factory shall fortify all the flour products with vitamin and minerals (in accordance with the ANSA Standards and the instructions of Ministry of Public Health), without any exception.""",Domestically produced,Imports,,"""(12) The Factory shall fortify all the flour products with vitamin and minerals (in accordance with the ANSA Standards and the instructions of Ministry of Public Health), without any exception.""",Household,Processed food,Animal feed,,"""(12) The Factory shall fortify all the flour products with vitamin and minerals (in accordance with the ANSA Standards and the instructions of Ministry of Public Health), without any exception.""",Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.,Islamic Republic of Afghanistan Ministry of Public Health.  Regulation of wheat flour and edible oil fortified with minerals and vitamins.  Afghanistan.  6/December/2018.,Unknown,,,,Unknown,,,
3,Albania,0,Europe,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
3,Albania,0,Europe,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
3,Albania,0,Europe,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
3,Albania,2008,Europe,Upper middle income,Salt,YES,Republic of Albania Assembly. Law No. 9942 For the Prevention of Iodine Deficiency Disorders in the Republic of Albania. Republic of Albania. 26/June/2008.,,2008,Republic of Albania Assembly. Law No. 9942 For the Prevention of Iodine Deficiency Disorders in the Republic of Albania. Republic of Albania. 26/June/2008.,,2008,,,NO,0,,,All,"Article 1 ... universal iodization of salt, intended for human consumption, animal feed, and food industry",Domestically produced,Imports,,"Article 2 This Law shall be applied to producers, importers, commercial enterprises, traders, and distributors of the salt intended for human, consumption, animal feed, and food industry",Household,Processed food,Animal feed,,"Article 1 ... universal iodization of salt, intended for human consumption, animal feed, and food industry",Republic of Albania Assembly. Law No. 9942 For the Prevention of Iodine Deficiency Disorders in the Republic of Albania. Republic of Albania. 26/June/2008.,Republic of Albania Assembly. Law No. 9942 For the Prevention of Iodine Deficiency Disorders in the Republic of Albania. Republic of Albania. 26/June/2008.,Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
3,Albania,0,Europe,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
