ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,1996,19.5,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,1996,10.9,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,1997,21.3,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,1997,11.8,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,1998,28,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,1998,15.6,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,1999,21.5,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,1999,12.6,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2000,23.3,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2000,13.2,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2001,24.3,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2001,14,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2002,32.5,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2002,19.6,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2003,29.8,I11:264,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2003,18.7,I11:264,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2004,32.9,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2004,20.5,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2005,32.3,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2005,19.9,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2006,28.9,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2006,18,,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2007,30,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2007,18.2,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2008,28.6,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2008,17.8,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2009,28.1,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2009,17,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2010,25.6,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2010,15.5,I13:3888,R1:2475_S4:31_T2:83
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2018,23.47,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_M,2018,23.01,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2018,24.02,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2019,25.78,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_M,2019,25.59,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2019,26.02,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_T,2020,23.88,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_M,2020,25.23,T30:61,S14:4077_S3:11_S4:33
ARG,EAR_XTLP_SEX_RT,BA:150,SEX_F,2020,24.55,T30:61,S14:4077_S3:11_S4:33
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_T,2007,26.5,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_F,2007,49.6,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_T,2008,25,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_F,2008,38.8,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_T,2009,26.3,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_F,2009,33,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_T,2010,25.8,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_F,2010,33.6,T10:139_T34:400_T34:2127,
ARM,EAR_XTLP_SEX_RT,BB:173,SEX_F,2011,39.6,T10:139_T34:400_T34:2127,
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_T,1995,13.8,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_F,1995,17.7,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_T,1997,12.4,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_F,1997,16,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_T,1998,12.3,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_F,1998,15.2,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_T,1999,14.3,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_F,1999,17.9,T11:142,R1:2382
AUS,EAR_XTLP_SEX_RT,BA:518,SEX_T,2000,16.36,,R1:2382
