country,countrycode,MobileSubs_2020
Country Name,Country Code,2020
Aruba,ABW,132.06451
Africa Eastern and Southern,AFE,71.889191
Afghanistan,AFG,58.255814
Africa Western and Central,AFW,99.617378
Angola,AGO,44.559509
Albania,ALB,91.002945
Andorra,AND,121.65923
Arab World,ARB,97.105812
United Arab Emirates,ARE,185.77942
Argentina,ARG,121.1704
Armenia,ARM,117.73577
American Samoa,ASM,
Antigua and Barbuda,ATG,187.89122
Australia,AUS,107.65932
Austria,AUT,118.99813
Azerbaijan,AZE,102.02307
Burundi,BDI,55.767147
Belgium,BEL,99.4832
Benin,BEN,91.897278
Burkina Faso,BFA,105.80744
Bangladesh,BGD,107.03754
Bulgaria,BGR,114.35277
Bahrain,BHR,102.76785
"Bahamas, The",BHS,118.50149
Bosnia and Herzegovina,BIH,106.97555
Belarus,BLR,123.86161
Belize,BLZ,66.393715
Bermuda,BMU,109.18784
Bolivia,BOL,101.12501
Brazil,BRA,96.836349
Barbados,BRB,102.65333
Brunei Darussalam,BRN,122.6548
Bhutan,BTN,96.569374
Botswana,BWA,162.84079
Central African Republic,CAF,37.910732
Canada,CAN,85.739677
Central Europe and the Baltics,CEB,122.65662
Switzerland,CHE,127.30669
Channel Islands,CHI,
Chile,CHL,131.13614
China,CHN,119.39016
Cote d'Ivoire,CIV,152.00102
Cameroon,CMR,84.195076
"Congo, Dem. Rep.",COD,45.553547
"Congo, Rep.",COG,88.617668
Colombia,COL,132.9967
Comoros,COM,89.877884
Cabo Verde,CPV,97.975136
Costa Rica,CRI,147.47145
Caribbean small states,CSS,112.89069
Cuba,CUB,58.815121
Curacao,CUW,110.91271
Cayman Islands,CYM,152.15605
Cyprus,CYP,139.63513
Czech Republic,CZE,121.39168
Germany,DEU,128.18686
Djibouti,DJI,43.930668
Dominica,DMA,105.57609
Denmark,DNK,125.21447
Dominican Republic,DOM,82.869301
Algeria,DZA,103.88731
East Asia & Pacific (excluding high income),EAP,123.46428
Early-demographic dividend,EAR,96.837631
East Asia & Pacific,EAS,125.88943
Europe & Central Asia (excluding high income),ECA,129.86072
Europe & Central Asia,ECS,125.02477
Ecuador,ECU,87.770325
"Egypt, Arab Rep.",EGY,93.182182
Euro area,EMU,121.25626
Eritrea,ERI,50.783592
Spain,ESP,119.02036
Estonia,EST,145.17438
Ethiopia,ETH,38.707909
European Union,EUU,121.49249
Fragile and conflict affected situations,FCS,75.451889
Finland,FIN,128.50316
Fiji,FJI,110.60355
