,2013-2017,2018-2022
Afghanistan,98.169627299,98.169627299
Albania,64.010989011,68.1628392484
Algeria,63.7640986427,63.7640986427
Andorra,,
Angola,20.7849249079,20.7849249079
Antigua and Barbuda,15.652173913,15.652173913
Argentina,73.928004235,73.928004235
Armenia,73.1707317073,69.3441414886
Australia,65.5953743114,69.2607290761
Austria,2.2078405544,2.2078405544
Azerbaijan,92.0874587459,92.356373798
Bahamas,,
Bahrain,33.3103130755,33.3103130755
Bangladesh,87.8171173683,87.8171173683
Barbados,67.6543209877,67.6543209877
Belarus,30.85182534,29.9065420561
Belgium,1.1266900351,1.1266900351
Belize,67.7227722772,67.7227722772
Benin,25.2136752137,25.2136752137
Bhutan,94.0828402367,94.0828402367
Bolivia,91.9540229885,91.9540229885
Bosnia and Herzegovina,,
Botswana,35.7512953368,35.7512953368
Brazil,60.0334957369,58.1359343552
Brunei Darussalam,5.7608695652,5.7608695652
Bulgaria,14.75786497,13.3456221198
Burkina Faso,51.4303178484,51.4303178484
Burundi,79.2574080685,79.2574080685
Cabo Verde,92.5925925926,92.5925925926
Cambodia,94.0018315018,94.0018315018
Cameroon,67.7140757075,67.7140757075
Canada,7.4129213483,7.5341879122
Central African Republic,0.5517241379,0.5517241379
Chad,76.4211005002,76.4211005002
Chile,90.8866234167,90.8866234167
China,64.4039458285,64.4039458285
Colombia,73.5294117647,73.4522560336
Comoros,47.0,47.0
Congo,4.3620501636,4.3620501636
Cook Islands,,
Costa Rica,73.3334690417,72.0304846028
Côte d'Ivoire,51.6351118761,51.6351118761
Croatia,10.5849582173,10.5849582173
Cuba,64.9374910188,64.9374910188
Cyprus,61.9528619529,0.0
Czechia,2.8588957055,3.0188679245
Korea,76.3473399709,76.3473399709
Democratic Republic of the Congo,10.517846694,10.517846694
Denmark,52.8145292094,58.8581504848
Djibouti,15.7894736842,15.7894736842
Dominica,5.0,5.0
Dominican Republic,83.3122197865,83.3122197865
Ecuador,81.427707199,81.427707199
Egypt,79.1612903226,79.1612903226
El Salvador,67.5637393768,67.5637393768
Equatorial Guinea,5.0505050505,5.0505050505
Eritrea,94.5017182131,94.5017182131
Estonia,0.250223245,0.2945885221
Eswatini,94.1947565543,94.1947565543
